iter	Passed	Remaining
0	150	150349
1	168	84205
2	186	61880
3	206	51361
4	225	44913
5	243	40326
6	261	37063
7	277	34415
8	294	32391
9	311	30833
10	329	29637
11	348	28658
12	365	27712
13	381	26854
14	397	26124
15	414	25508
16	430	24891
17	449	24523
18	466	24072
19	484	23733
20	500	23347
21	521	23163
22	536	22809
23	554	22530
24	573	22369
25	591	22141
26	608	21923
27	625	21696
28	641	21463
29	658	21297
30	676	21148
31	692	20957
32	709	20782
33	724	20593
34	743	20512
35	761	20392
36	776	20210
37	793	20077
38	808	19929
39	825	19802
40	842	19704
41	858	19582
42	875	19495
43	893	19417
44	910	19329
45	926	19208
46	955	19364
47	975	19352
48	993	19278
49	1009	19186
50	1027	19111
51	1045	19058
52	1060	18957
53	1079	18915
54	1096	18836
55	1114	18792
56	1130	18709
57	1149	18662
58	1171	18682
59	1189	18632
60	1204	18541
61	1221	18482
62	1239	18437
63	1255	18366
64	1272	18300
65	1289	18249
66	1304	18164
67	1321	18106
68	1335	18024
69	1352	17974
70	1369	17923
71	1386	17875
72	1401	17801
73	1416	17731
74	1433	17681
75	1452	17661
76	1469	17616
77	1488	17598
78	1504	17544
79	1519	17478
80	1536	17434
81	1552	17376
82	1569	17340
83	1585	17293
84	1604	17272
85	1624	17260
86	1638	17194
87	1654	17148
88	1670	17099
89	1686	17049
90	1701	16998
91	1718	16961
92	1734	16918
93	1749	16862
94	1768	16850
95	1785	16813
96	1804	16801
97	1821	16769
98	1839	16738
99	1854	16689
100	1869	16637
101	1884	16594
102	1901	16562
103	1917	16519
104	1935	16497
105	1950	16453
106	1968	16432
107	1984	16389
108	2000	16355
109	2016	16313
110	2032	16274
111	2049	16252
112	2071	16258
113	2087	16221
114	2102	16179
115	2118	16147
116	2134	16109
117	2151	16079
118	2166	16041
119	2181	16000
120	2196	15959
121	2211	15914
122	2227	15883
123	2246	15872
124	2266	15864
125	2281	15824
126	2298	15800
127	2313	15759
128	2327	15717
129	2342	15676
130	2356	15631
131	2372	15597
132	2385	15548
133	2401	15521
134	2417	15489
135	2435	15474
136	2451	15441
137	2465	15398
138	2480	15367
139	2495	15330
140	2514	15316
141	2528	15275
142	2542	15237
143	2557	15204
144	2573	15173
145	2589	15146
146	2606	15123
147	2620	15087
148	2637	15061
149	2654	15041
150	2671	15018
151	2684	14977
152	2700	14950
153	2717	14927
154	2732	14895
155	2746	14861
156	2762	14830
157	2776	14795
158	2791	14765
159	2808	14743
160	2824	14716
161	2838	14685
162	2855	14665
163	2875	14659
164	2891	14630
165	2905	14596
166	2921	14574
167	2938	14551
168	2956	14536
169	2970	14504
170	2988	14488
171	3002	14455
172	3018	14427
173	3032	14397
174	3050	14380
175	3064	14345
176	3079	14317
177	3099	14312
178	3115	14290
179	3131	14265
180	3149	14250
181	3163	14219
182	3180	14201
183	3197	14181
184	3211	14149
185	3230	14136
186	3245	14110
187	3263	14096
188	3280	14077
189	3294	14046
190	3311	14027
191	3328	14005
192	3346	13991
193	3363	13972
194	3378	13945
195	3393	13922
196	3410	13902
197	3425	13877
198	3443	13859
199	3458	13833
200	3473	13809
201	3491	13791
202	3507	13769
203	3523	13748
204	3541	13734
205	3556	13707
206	3569	13675
207	3585	13653
208	3603	13636
209	3619	13615
210	3633	13588
211	3651	13571
212	3670	13560
213	3687	13543
214	3706	13531
215	3723	13513
216	3742	13505
217	3760	13489
218	3777	13470
219	3791	13444
220	3807	13419
221	3823	13401
222	3841	13383
223	3858	13365
224	3874	13345
225	3889	13322
226	3904	13296
227	3920	13273
228	3938	13258
229	3956	13245
230	3973	13228
231	3990	13208
232	4003	13178
233	4017	13152
234	4031	13122
235	4048	13105
236	4063	13081
237	4078	13058
238	4092	13031
239	4107	13007
240	4124	12989
241	4141	12970
242	4155	12946
243	4176	12941
244	4195	12929
245	4211	12908
246	4225	12881
247	4242	12864
248	4259	12848
249	4275	12825
250	4290	12804
251	4306	12781
252	4321	12758
253	4337	12737
254	4352	12714
255	4367	12693
256	4386	12681
257	4406	12673
258	4421	12648
259	4438	12632
260	4455	12614
261	4470	12591
262	4485	12570
263	4501	12549
264	4519	12536
265	4537	12521
266	4552	12499
267	4569	12481
268	4583	12456
269	4599	12436
270	4616	12417
271	4631	12395
272	4645	12372
273	4665	12362
274	4684	12349
275	4699	12328
276	4717	12313
277	4736	12301
278	4754	12287
279	4771	12268
280	4789	12255
281	4804	12231
282	4821	12216
283	4835	12191
284	4851	12170
285	4867	12150
286	4883	12131
287	4897	12108
288	4913	12087
289	4928	12066
290	4947	12054
291	4962	12031
292	4979	12016
293	4995	11996
294	5011	11977
295	5029	11962
296	5045	11942
297	5063	11927
298	5080	11911
299	5096	11892
300	5113	11873
301	5126	11849
302	5141	11826
303	5156	11805
304	5170	11782
305	5187	11765
306	5206	11752
307	5223	11736
308	5239	11717
309	5257	11702
310	5276	11690
311	5293	11672
312	5312	11659
313	5328	11642
314	5345	11624
315	5361	11604
316	5379	11591
317	5394	11568
318	5408	11545
319	5424	11527
320	5442	11512
321	5457	11490
322	5471	11467
323	5485	11444
324	5500	11423
325	5515	11402
326	5534	11390
327	5552	11376
328	5568	11356
329	5582	11333
330	5601	11321
331	5620	11309
332	5636	11289
333	5651	11270
334	5667	11250
335	5683	11231
336	5699	11212
337	5715	11193
338	5732	11177
339	5747	11156
340	5760	11132
341	5773	11108
342	5790	11090
343	5808	11075
344	5823	11056
345	5842	11043
346	5857	11023
347	5876	11009
348	5891	10988
349	5906	10968
350	5921	10948
351	5935	10926
352	5949	10905
353	5966	10888
354	5982	10868
355	5996	10847
356	6015	10834
357	6030	10815
358	6044	10791
359	6058	10771
360	6074	10752
361	6090	10733
362	6105	10714
363	6123	10699
364	6139	10680
365	6154	10661
366	6169	10640
367	6185	10622
368	6199	10602
369	6216	10584
370	6229	10561
371	6244	10541
372	6260	10523
373	6275	10503
374	6291	10485
375	6305	10464
376	6320	10444
377	6335	10425
378	6351	10407
379	6366	10387
380	6380	10366
381	6397	10349
382	6416	10336
383	6430	10315
384	6445	10296
385	6461	10278
386	6480	10264
387	6495	10246
388	6514	10231
389	6528	10211
390	6545	10195
391	6559	10173
392	6573	10152
393	6587	10132
394	6601	10111
395	6617	10093
396	6635	10078
397	6649	10058
398	6663	10037
399	6677	10016
400	6694	9999
401	6719	9995
402	6740	9985
403	6760	9972
404	6776	9955
405	6788	9932
406	6805	9916
407	6823	9900
408	6836	9879
409	6852	9861
410	6869	9844
411	6885	9826
412	6902	9809
413	6918	9793
414	6933	9773
415	6949	9755
416	6966	9739
417	6981	9720
418	6999	9705
419	7015	9688
420	7033	9673
421	7053	9660
422	7067	9639
423	7082	9620
424	7098	9603
425	7115	9587
426	7130	9568
427	7146	9551
428	7160	9531
429	7174	9510
430	7190	9493
431	7205	9474
432	7222	9457
433	7235	9436
434	7250	9417
435	7267	9401
436	7284	9384
437	7298	9364
438	7315	9348
439	7332	9332
440	7350	9317
441	7368	9301
442	7385	9285
443	7401	9268
444	7415	9249
445	7432	9232
446	7447	9213
447	7464	9197
448	7477	9176
449	7496	9162
450	7510	9142
451	7526	9124
452	7540	9104
453	7556	9087
454	7573	9071
455	7591	9056
456	7609	9041
457	7624	9022
458	7640	9005
459	7655	8987
460	7671	8969
461	7688	8952
462	7706	8937
463	7720	8918
464	7735	8899
465	7751	8882
466	7766	8864
467	7782	8847
468	7805	8837
469	7824	8823
470	7842	8807
471	7858	8790
472	7877	8776
473	7892	8758
474	7912	8745
475	7932	8732
476	7947	8713
477	7963	8697
478	7981	8680
479	7996	8662
480	8010	8642
481	8025	8624
482	8040	8606
483	8057	8590
484	8075	8574
485	8093	8559
486	8111	8544
487	8131	8530
488	8146	8512
489	8160	8493
490	8176	8476
491	8191	8457
492	8206	8439
493	8222	8422
494	8241	8407
495	8257	8390
496	8275	8375
497	8293	8360
498	8308	8341
499	8326	8326
500	8343	8310
501	8359	8292
502	8373	8273
503	8389	8256
504	8408	8241
505	8424	8224
506	8444	8211
507	8458	8192
508	8472	8172
509	8487	8154
510	8505	8139
511	8525	8125
512	8540	8107
513	8552	8087
514	8569	8070
515	8589	8056
516	8605	8039
517	8623	8023
518	8637	8005
519	8652	7986
520	8668	7969
521	8686	7954
522	8702	7937
523	8719	7920
524	8734	7902
525	8749	7884
526	8762	7864
527	8775	7844
528	8790	7826
529	8806	7809
530	8821	7791
531	8835	7772
532	8850	7754
533	8864	7735
534	8878	7716
535	8894	7699
536	8908	7680
537	8923	7663
538	8938	7645
539	8953	7626
540	8968	7609
541	8985	7592
542	9003	7577
543	9019	7560
544	9036	7544
545	9052	7526
546	9071	7512
547	9084	7493
548	9099	7474
549	9113	7456
550	9131	7440
551	9146	7423
552	9161	7405
553	9174	7386
554	9190	7369
555	9207	7352
556	9222	7335
557	9237	7316
558	9256	7302
559	9271	7284
560	9287	7267
561	9302	7249
562	9319	7233
563	9335	7216
564	9350	7198
565	9366	7182
566	9381	7164
567	9396	7146
568	9411	7129
569	9428	7112
570	9444	7095
571	9462	7080
572	9481	7065
573	9496	7048
574	9513	7031
575	9531	7016
576	9549	7001
577	9568	6985
578	9583	6968
579	9601	6952
580	9617	6935
581	9636	6921
582	9651	6903
583	9665	6885
584	9682	6869
585	9699	6852
586	9714	6834
587	9731	6818
588	9747	6801
589	9761	6783
590	9780	6768
591	9799	6754
592	9816	6737
593	9834	6721
594	9849	6704
595	9862	6685
596	9878	6668
597	9893	6650
598	9907	6632
599	9927	6618
600	9941	6600
601	9955	6581
602	9971	6564
603	9989	6549
604	10004	6531
605	10019	6514
606	10035	6497
607	10050	6479
608	10068	6464
609	10085	6447
610	10100	6430
611	10114	6412
612	10131	6396
613	10146	6379
614	10164	6363
615	10180	6346
616	10193	6327
617	10209	6310
618	10226	6294
619	10242	6277
620	10256	6259
621	10274	6243
622	10291	6227
623	10306	6210
624	10324	6194
625	10341	6178
626	10354	6160
627	10372	6144
628	10387	6126
629	10401	6108
630	10415	6091
631	10430	6073
632	10450	6059
633	10464	6041
634	10477	6022
635	10493	6005
636	10509	5988
637	10538	5979
638	10554	5962
639	10569	5945
640	10586	5929
641	10601	5911
642	10614	5893
643	10632	5877
644	10647	5860
645	10666	5844
646	10683	5828
647	10698	5811
648	10717	5796
649	10734	5779
650	10752	5764
651	10767	5747
652	10785	5731
653	10803	5715
654	10820	5699
655	10837	5682
656	10852	5665
657	10868	5648
658	10884	5632
659	10901	5615
660	10919	5600
661	10934	5582
662	10953	5567
663	10968	5550
664	10984	5533
665	11002	5517
666	11016	5499
667	11032	5483
668	11049	5466
669	11065	5450
670	11085	5435
671	11101	5418
672	11119	5402
673	11137	5386
674	11152	5369
675	11169	5353
676	11185	5336
677	11201	5319
678	11214	5301
679	11230	5285
680	11245	5267
681	11262	5251
682	11278	5234
683	11293	5217
684	11307	5199
685	11324	5183
686	11341	5167
687	11356	5149
688	11370	5132
689	11385	5115
690	11401	5098
691	11420	5083
692	11436	5066
693	11456	5051
694	11472	5034
695	11488	5017
696	11506	5002
697	11525	4986
698	11539	4968
699	11557	4953
700	11574	4936
