iter	Passed	Remaining
701	11587	4918
702	11601	4901
703	11620	4885
704	11635	4868
705	11652	4852
706	11668	4835
707	11685	4819
708	11700	4802
709	11718	4786
710	11731	4768
711	11747	4751
712	11765	4735
713	11785	4720
714	11802	4704
715	11818	4687
716	11835	4671
717	11853	4655
718	11869	4638
719	11882	4620
720	11898	4604
721	11917	4588
722	11932	4571
723	11945	4553
724	11961	4537
725	11978	4520
726	11995	4504
727	12011	4487
728	12029	4471
729	12045	4455
730	12061	4438
731	12076	4421
732	12092	4404
733	12107	4387
734	12122	4370
735	12137	4353
736	12154	4337
737	12170	4320
738	12188	4304
739	12208	4289
740	12226	4273
741	12243	4257
742	12259	4240
743	12276	4224
744	12293	4207
745	12309	4191
746	12326	4174
747	12342	4158
748	12357	4141
749	12371	4123
750	12388	4107
751	12406	4091
752	12421	4074
753	12436	4057
754	12450	4040
755	12467	4023
756	12481	4006
757	12495	3989
758	12513	3973
759	12528	3956
760	12545	3940
761	12562	3923
762	12577	3906
763	12593	3890
764	12609	3873
765	12625	3856
766	12642	3840
767	12660	3824
768	12677	3808
769	12694	3791
770	12710	3775
771	12726	3758
772	12743	3742
773	12758	3725
774	12774	3708
775	12790	3692
776	12804	3675
777	12821	3658
778	12837	3641
779	12852	3625
780	12870	3609
781	12891	3593
782	12908	3577
783	12924	3560
784	12938	3543
785	12953	3526
786	12971	3510
787	12989	3494
788	13008	3478
789	13037	3465
790	13057	3450
791	13073	3433
792	13089	3416
793	13108	3400
794	13123	3384
795	13141	3367
796	13158	3351
797	13175	3335
798	13192	3318
799	13206	3301
800	13225	3285
801	13242	3269
802	13260	3253
803	13276	3236
804	13289	3219
805	13306	3202
806	13324	3186
807	13342	3170
808	13356	3153
809	13374	3137
810	13392	3121
811	13408	3104
812	13427	3088
813	13443	3071
814	13459	3055
815	13474	3038
816	13491	3021
817	13507	3005
818	13527	2989
819	13543	2972
820	13557	2955
821	13577	2940
822	13592	2923
823	13607	2906
824	13621	2889
825	13637	2872
826	13653	2856
827	13668	2839
828	13683	2822
829	13698	2805
830	13718	2789
831	13736	2773
832	13751	2756
833	13766	2740
834	13780	2723
835	13795	2706
836	13809	2689
837	13824	2672
838	13839	2655
839	13853	2638
840	13869	2622
841	13889	2606
842	13904	2589
843	13918	2572
844	13932	2555
845	13950	2539
846	13970	2523
847	13987	2507
848	14001	2490
849	14014	2473
850	14032	2456
851	14046	2440
852	14061	2423
853	14075	2406
854	14092	2390
855	14107	2373
856	14124	2356
857	14138	2339
858	14152	2323
859	14166	2306
860	14180	2289
861	14195	2272
862	14211	2256
863	14227	2239
864	14242	2222
865	14258	2206
866	14274	2189
867	14291	2173
868	14307	2156
869	14322	2140
870	14338	2123
871	14353	2106
872	14369	2090
873	14381	2073
874	14394	2056
875	14409	2039
876	14425	2023
877	14441	2006
878	14457	1990
879	14476	1974
880	14490	1957
881	14505	1940
882	14520	1924
883	14535	1907
884	14553	1891
885	14570	1874
886	14587	1858
887	14606	1842
888	14624	1825
889	14643	1809
890	14662	1793
891	14680	1777
892	14696	1760
893	14718	1745
894	14735	1728
895	14753	1712
896	14773	1696
897	14789	1679
898	14806	1663
899	14823	1647
900	14842	1630
901	14861	1614
902	14875	1597
903	14890	1581
904	14911	1565
905	14926	1548
906	14943	1532
907	14959	1515
908	14974	1499
909	14988	1482
910	15004	1465
911	15021	1449
912	15041	1433
913	15060	1417
914	15076	1400
915	15091	1383
916	15105	1367
917	15119	1350
918	15136	1334
919	15153	1317
920	15168	1301
921	15183	1284
922	15198	1267
923	15213	1251
924	15228	1234
925	15242	1218
926	15260	1201
927	15276	1185
928	15297	1169
929	15315	1152
930	15331	1136
931	15349	1119
932	15368	1103
933	15384	1087
934	15400	1070
935	15415	1054
936	15431	1037
937	15447	1021
938	15464	1004
939	15479	988
940	15495	971
941	15510	954
942	15531	938
943	15546	922
944	15561	905
945	15577	889
946	15593	872
947	15608	856
948	15622	839
949	15636	822
950	15652	806
951	15667	789
952	15684	773
953	15699	756
954	15716	740
955	15732	724
956	15748	707
957	15764	691
958	15778	674
959	15794	658
960	15813	641
961	15827	625
962	15842	608
963	15862	592
964	15879	575
965	15897	559
966	15911	543
967	15929	526
968	15944	510
969	15960	493
970	15975	477
971	15994	460
972	16012	444
973	16027	427
974	16046	411
975	16060	394
976	16076	378
977	16091	361
978	16105	345
979	16123	329
980	16139	312
981	16155	296
982	16170	279
983	16184	263
984	16202	246
985	16217	230
986	16232	213
987	16248	197
988	16270	180
989	16287	164
990	16301	148
991	16318	131
992	16333	115
993	16349	98
994	16368	82
995	16384	65
996	16398	49
997	16414	32
998	16434	16
999	16450	0
