iter	MultiClass
297	0.3574328499
298	0.3571154339
299	0.3569346606
300	0.3566902599
301	0.3566097133
302	0.3564604107
303	0.3563147249
304	0.3561381982
305	0.3559085564
306	0.3553786651
307	0.3549061631
308	0.3547939217
309	0.3546231526
310	0.3543882913
311	0.3542328495
312	0.3539003759
313	0.3535683936
314	0.3533381813
315	0.3531610026
316	0.3528530706
317	0.3527366994
318	0.3526301404
319	0.3523581458
320	0.3518241412
321	0.3517020502
322	0.3516032649
323	0.3514979784
324	0.3512471073
325	0.3511310561
326	0.3508266043
327	0.3502000866
328	0.3499121438
329	0.3496851961
330	0.349270444
331	0.3488040107
332	0.3487133625
333	0.348496395
334	0.3483999765
335	0.3482654008
336	0.3480757532
337	0.3479312116
338	0.3476967666
339	0.3475291075
340	0.3474750728
341	0.3473978995
342	0.3472119201
343	0.3469128017
344	0.3466340506
345	0.3464327275
346	0.3460947479
347	0.3457553931
348	0.3455915044
349	0.3454284984
350	0.345234995
351	0.3450462704
352	0.3448898823
353	0.344546285
354	0.3442918431
355	0.3440876827
356	0.3437323397
357	0.3435790542
358	0.3435353321
359	0.3434179156
360	0.3432845466
361	0.3430295273
362	0.3427674233
363	0.3424385104
364	0.3421779035
365	0.3420433331
366	0.3418697573
367	0.3417855089
368	0.3416759805
369	0.3414310298
370	0.341357619
371	0.3410660043
372	0.340911203
373	0.3407839011
374	0.3406940149
375	0.3405059678
376	0.340371372
377	0.3402015551
378	0.3400321777
379	0.3399284477
380	0.3398583453
381	0.3395618192
382	0.3391899155
383	0.3390852233
384	0.3390179411
385	0.3388355031
386	0.3385455524
387	0.3384536715
388	0.3381619137
389	0.3380634999
390	0.3377038798
391	0.3376482874
392	0.3375788174
393	0.3375140657
394	0.3374023183
395	0.3373361904
396	0.3369518289
397	0.3369268109
398	0.3368589879
399	0.3367575012
400	0.3365283624
401	0.3362399733
402	0.3361437872
403	0.3360660979
404	0.3357870162
405	0.3357455123
406	0.3355827359
407	0.3352905715
408	0.3352659321
409	0.3350193979
410	0.3346631826
411	0.3344038997
412	0.3342096286
413	0.3339921103
414	0.3338581811
415	0.3335782936
416	0.3334860402
417	0.3333446026
