mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13.127193880081176,0.543798303637837,0.25719289779663085,0.018813194866502972,,1,8,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 50}",-45.90643972220235,-45.57098047534895,-52.86559272204982,-51.446835506607655,-56.36597698081871,-50.431165081405496,4.153902998692799,7
25.70320591926575,0.4395013864887765,0.5692497730255127,0.0750626231374381,,1,8,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 100}",-45.54518417018888,-45.96822346244418,-52.29427731541328,-50.95204957917096,-56.24111491025842,-50.20016988749514,4.025466142729106,6
31.575135374069212,0.8718142107550864,0.7222836494445801,0.1266968611848997,,1,8,120,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 120}",-45.60990291316748,-46.022597826627454,-52.29172043344409,-50.75463514807102,-56.0508659295585,-50.1459444501737,3.9349870855478715,5
37.237598180770874,0.5635270074358795,0.697364616394043,0.00921848432759735,,1,8,140,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 140}",-45.571186839988556,-46.06352277787081,-52.22050349438681,-50.67173455544893,-55.96573186244692,-50.0985359060284,3.8995772088504914,4
42.05097146034241,0.444881298673478,0.905008602142334,0.13277634492822024,,1,8,160,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 160}",-45.71602728170332,-45.97411942886817,-52.06578629920505,-50.515326514035834,-55.86273081824297,-50.02679806841107,3.8330456047117862,3
53.82428913116455,1.5454520432451153,1.0921267509460448,0.08680035140679693,,1,8,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 200}",-45.810185931300275,-45.78054168439622,-52.159254829631415,-50.365684635844836,-55.63406413536107,-49.94994624330676,3.791691677025915,2
66.54298739433288,0.8083991712906249,1.3943332195281983,0.09024607114440948,,1,8,250,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 250}",-45.74427392627313,-45.80409063849364,-52.118006281858406,-50.21836753395294,-55.71315478650205,-49.91957863341604,3.8172842285574418,1
13.130700063705444,0.5846096033531211,0.24467620849609376,0.01193118704376864,,2,8,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 50}",-46.07303403543141,-48.2584586365467,-53.00437034006689,-52.15975407008678,-57.50945747862469,-51.4010149121513,3.9679350925626222,14
26.563878870010377,0.36486235578812315,0.5093344688415528,0.03829911268973807,,2,8,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 100}",-45.64141767648878,-48.61991270908325,-52.48981822392125,-51.6223786545091,-56.90576504156621,-51.055858461113715,3.790741179451384,13
32.39294619560242,0.32161091772641337,0.5994379997253418,0.032238873941757035,,2,8,120,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 120}",-45.76956310924815,-48.71315426609303,-52.44269016913454,-51.520828119643824,-56.73416354662347,-51.0360798421486,3.6827672513351604,12
37.60214805603027,0.5131398920117618,0.6793523788452148,0.0649333502861544,,2,8,140,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 140}",-45.738634083408186,-48.756385951977386,-52.40882889128967,-51.453304834964314,-56.69037080414018,-51.00950491315595,3.668403674483859,11
42.75784854888916,1.163498967874427,0.8355532169342041,0.08004279475082986,,2,8,160,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 160}",-45.834093315927085,-48.71351655490873,-52.26655120687724,-51.364835953988994,-56.6257387440599,-50.96094715515239,3.6136731019602237,10
53.14965586662292,0.9729223881545698,0.9742567539215088,0.028768129800846136,,2,8,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 200}",-45.97007568204092,-48.57415682337497,-52.229699225113094,-51.22680682283209,-56.47216462198168,-50.89458063506855,3.5394201423017426,9
65.24929866790771,1.379715839950615,1.2786736488342285,0.08614670033376627,,2,8,250,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 250}",-45.86202885495334,-48.594031464988,-52.21620890264027,-51.1061398820291,-56.43952631602634,-50.84358708412741,3.553701827382335,8
13.629550504684449,0.3332114977380801,0.2686276435852051,0.05106946561430775,,3,8,50,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 50}",-47.516140962035394,-50.034521698066584,-54.09898486961241,-52.78189040828406,-58.421177426729,-52.5705430729455,3.7037578073151614,21
26.44665398597717,0.4061538433267551,0.4729910850524902,0.016839101158561083,,3,8,100,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 100}",-47.014685084690136,-50.318042689655584,-53.59526204690151,-52.22519605218001,-57.679619463516126,-52.166561067388685,3.5326274573845686,20
30.90837678909302,0.5064963967459762,0.5757475852966308,0.0822920156157547,,3,8,120,"{'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 120}",-47.09137455152958,-50.32775269622026,-53.50067701851896,-52.20017795857351,-57.62403904805784,-52.14880425458002,3.4843139712303004,19
